,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
181,3,182,Projekt Misanthropia,Stalaggh,7.0,Black Metal,2007.0,0182_stalaggh_projektMisanthropia.mp4
179,3,180,Dawn of the Blackhearts / Deathcrush,Mayhem,7.0,Black Metal,1990.0,0180_mayhem_dawnOfTheBlackheartsDeathcrush.mp4
190,3,191,Hitchhiker,Macabre,7.0,Death Metal,2000.0,0191_macabre_hitchhiker.mp4
178,3,179,Dunkelheit,Burzum,7.0,Black Metal,1996.0,0179_burzum_dunkelheit.mp4
197,3,198,Death - Pierce Me,Silencer,7.0,Black Metal,2001.0,0198_silencer_deathPierceMe.mp4
196,3,197,Piercing Where They Might,Lurker of Chalice,7.0,Black Metal,2005.0,0197_lurkerOfChalice_piercingWhereTheyMight.mp4
198,3,199,I am Black Wizzards,Emperor,7.0,Black Metal,1994.0,0199_emperor_iAmBlackWizzards.mp4
303,4,304,Crow Hop,Black Lodge Singers,9.0,Indigenous American,2017.0,0304_CrowHop_BlackLodgeSingers.mp4
194,3,195,Beauiful People,Marilyn Manson,7.0,Alternative,1996.0,0195_marilynManson_beauifulPeople.mp4
189,3,190,Piece By Piece,Slayer,7.0,Thrash,1986.0,0190_slayer_pieceByPiece.mp4
180,3,181,tsutomu miyazaki,Gnaw Their Tongues,7.0,Noise,2010.0,0181_gnawTheirTongues_tsutomuMiyazaki.mp4
265,4,266,Anarchy In The U.K.,Sex Pistols,7.0,Punk,1977.0,0266_sexPistols_anarchyInTheUK.mp4
188,3,189,Seek And Destroy,Metallica,7.0,Metal,1983.0,0189_metallica_seekAndDestroy.mp4
306,4,307,Harry Potter Theme (Hedwig's Theme),John Williams,9.0,Soundtrack,2001.0,0307_harryPotterHedwigsTheme_johnWilliams.mp4
26,1,27,Enter Sandman,Metallica,7.0,Metal,1991.0,0027_metallica_enterSandman.mp4
571,5,572,I Was Lost Without You,Sam Hulick,1.0,scorecore,2012.0,0572_samHulick_iWasLostWithoutYou.mp4
536,5,537,Midori,CHEHON,9.0,j-reggae,2006.0,0537_chehon_midori.mp4
790,5,791,Do You Think So? I Don't,Dial M For Murder!,7.0,deep gothic post-punk,1905.0,0791_dialMForMurder!_doYouThinkSoIDon'T.mp4
683,5,684,Triumph,nervous_testpilot,3.0,deep chiptune,2012.0,0684_nervous_testpilot_triumph.mp4
975,5,976,Sonata in C Minor 'Sanguineus & Melancholicus' Wq. 161 nr. 4,Carl Philipp Emanuel Bach,1.0,baroque ensemble,1997.0,0976_carlPhillipEmanuelBack_sonataInCMinor.mp4
682,5,683,Juke Somebody,DJ Nehpets,3.0,ghettotech,2007.0,0683_djNehpets_jukeSomebody.mp4
702,5,703,"Inside River, Pt. 2",Akira Kosemura,1.0,j-ambient,2017.0,0703_akiraKosemura_insideRiverPt.2.mp4
514,5,515,If You Were the Only Girl in the World,Philip Green And His Orchestra,5.0,light music,2012.0,0515_philipGreenAndHisOrchestra_ifYouWereTheOnlyGirlInTheWorld.mp4
658,5,659,Miguel Angel,Juaninacka,9.0,spanish hip hop,2014.0,0659_juaninacka_miguelAngel.mp4
822,5,823,Anh Sai Roi,Cao Thai Son,9.0,vietnamese pop,2012.0,0823_caoThaiSon_anhSaiRoi.mp4
885,5,886,"Sonata No. 2 in B-flat Minor for Piano, Op. 35: III. Marche Funébre (Funeral March): Lento",Abbey Simon,1.0,deep orchestral,2010.0,0886_abbeySimon_sonataNo2InB-FlatMinorForPianoOp35IiiMarcheFunebreFuneralMarchLento.mp4
743,5,744,Sonny's Dream,Ron Hynes,2.0,nl folk,1905.0,0744_ronHynes_sonny'sDream.mp4
579,5,580,Holy Water,Bad Company,7.0,classic funk rock,1990.0,0580_badCompany_holyWater.mp4
651,5,652,Afraid,Neko Case,2.0,lilith,2013.0,0652_nekoCase_afraid.mp4
877,5,878,En Kungens Man,Tarmgas,9.0,deep swedish rock,1905.0,0878_tarmgas_enKungensMan.mp4
